ScripCode,Symbol,NSE Exclusive,Status,Series,GSM,Long_Term_Additional_Surveillance_Measure (Long Term ASM),Unsolicited_SMS,Insolvency_Resolution_Process(IRP),Short_Term_Additional_Surveillance_Measure (Short Term ASM),Default,ICA,Filler4,Filler5,Pledge,Add-on_PB,Total Pledge,Social Media Platforms,ESM,Loss making,The Overall encumbered share in the scrip is more than 50 Percent.,Under BZ/SZ Series,Company has failed to pay Annual listing fee,Filler12,Derivative contracts in the scrip to be moved out of F and O,Filler13,Filler14,Filler15,Filler16
NA,CINEVISTA,N,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,0,100,100,100,,100,,,,
NA,CLEDUCATE,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,CLOUD,Y,A,ST,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,CMNL,Y,A,ST,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,COCHINSHIP,N,A,BE,100,4,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,COFFEEDAY,N,A,BE,100,100,100,0,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,CONTI,Y,A,ST,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,COOLCAPS,Y,A,ST,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,CORALFINAC,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,COUNCODOS,N,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,CPS,Y,A,ST,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,CREATIVEYE,N,A,EQ,100,1,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,CROWN,Y,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,CTE,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,CUPID,N,A,BE,100,4,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,CYBERTECH,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,DCG,Y,A,SM,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,DCI,N,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,DCM,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,DCMFINSERV,N,A,BE,0,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,DCMNVL,N,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,DCXINDIA,N,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,DELPHIFX,N,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,DESTINY,Y,A,ST,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,DHRUV,N,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,DHTL,Y,A,ST,100,100,100,100,100,100,100,,,100,100,100,100,1,100,0,100,100,,100,,,,
NA,DIACABS,N,A,BE,100,4,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,DICIND,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,DIFFNKG,Y,A,EQ,100,100,100,100,1,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,DIGIDRIVE,N,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,DIGIKORE,Y,A,SM,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,DIGISPICE,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,DIGJAMLMTD,N,A,BE,100,100,100,0,100,100,100,,,100,100,100,100,100,0,100,100,100,,100,,,,
NA,DIVYADHAN,Y,A,SM,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,DNAMEDIA,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,DOLPHIN,N,A,BE,100,4,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,DONEAR,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,DRCSYSTEMS,N,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,DREDGECORP,N,A,EQ,100,100,100,100,1,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,DRL,Y,A,SM,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,DRONE,Y,A,ST,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,DRSCARGO,Y,A,ST,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,DRSDILIP,Y,A,ST,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,DUCOL,Y,A,SM,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,DUCON,N,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
